method,precision_at_k,recall_at_k,f1_at_k,iou_strict
Canny,0.6564932657051531,0.6225543867745218,0.6387709908922573,0.0
Prewitt,0.1613960113960114,1.0,0.27723771249186796,0.03215017136100143
Sobel,0.1583131523107294,1.0,0.2726402779531002,0.030576426085874294
LoG,0.16277703104556562,0.8483608694668213,0.272039787640664,0.009833728659288476
